"die Bahn, -en","Wir fahren lieber mit der Bahn als mit dem Bus.","rail; train"," We prefer to travel by train rather than by bus."
"der Bahnhof, ¨-e","Entschuldigung, komme ich hier zum Bahnhof?","train station"," Excuse me, do I get to the train station from here?"
"der Bahnsteig, -e","Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.","platform"," At main stations there are usually many platforms."
"der Balkon, -e","Die Wohnung hat auch einen kleinen Balkon.","balcony"," The apartment also has a small balcony."
"der Ball, ¨-e","Meine Kinder spielen gern Ball.","ball"," My children like to play ball."
"die Banane, -n","Drei Bananen, bitte!","banana"," Three bananas, please!"
"die Band, -s","Was ist deine Lieblingsband? Anton spielt in einer Band.","band"," What is your favorite band? Anton plays in a band."
"die Bank, -en","Bei welcher Bank haben Sie Ihr Konto?","bank"," At which bank do you have your account?"
"die Bank, ¨-e","Kommt, wir setzen uns auf diese Bank.","bench"," Come on, let's sit on this bench."
"der Basketball, ¨-e","Yannick spielt lieber Basketball als Fußball.","basketball"," Yannick prefers basketball to football."
"der Bauch, ¨-e","Seit gestern tut mir der Bauch weh.","belly"," Since yesterday my stomach hurts."
"der Baum, ¨-e","Der Baum ist über hundert Jahre alt.","tree"," The tree is over a hundred years old."
"die Baustelle, -n","Vor unserem Haus ist eine große Baustelle.","construction site"," In front of our house there is a big construction site."
"das Bein, -e","Mein rechtes Bein tut weh.","leg"," My right leg hurts."
"der Berg, -e","Die Zugspitze ist der höchste Berg in Deutschland.","mountain"," The Zugspitze is the highest mountain in Germany."
"der Beruf, -e","Was bist du von Beruf?","profession"," What is your profession?"
"der Besuch, -e","Wir bekommen am Wochenende Besuch.","visit; attendance"," We are getting visitors this weekend."
"das Bett, -en","Sie ist krank und muss heute im Bett bleiben.","bed"," She is sick and has to stay in bed today."
"die Bewerbung, -en","Kannst du mir bei meiner Bewerbung helfen?","application"," Can you help me with my job application?"
"die Wolke, -n","Es gibt viele Wolken am Himmel.","cloud"," There are many clouds in the sky."
"die Bibliothek, -en","Sie lernt jeden Tag in der Bibliothek.","library"," She studies every day in the library."
"das Bier, -e","Noch ein Bier, bitte.","beer"," Another beer, please."
"das Bild, -er","Hast du ein Bild von deinem Sohn?","picture"," Do you have a photo of your son?"
"die Birne, -n","Ein Kilo Birnen, bitte!","pear; light bulb (informal)"," One kilogram of pears, please!"
"die Bitte, -n","Ich habe noch eine Bitte.","request"," I have another request."
"das Blatt, ¨-er","Haben Sie ein Blatt Papier für mich?","leaf; sheet"," Do you have a sheet of paper for me?"
"der Bleistift, -e","Hast du einen Bleistift?","pencil"," Do you have a pencil?"
"das Blog, -s","Ich schreibe einen Blog über Mode.","blog"," I am writing a blog about fashion."
"die Blume, -n","Gefallen dir die Blumen?","flower"," Do you like the flowers?"
"die Bluse, -n","Ich suche eine weiße Bluse.","blouse"," I am looking for a white blouse."
"die Bohne, -n","Hans isst nicht gern Bohnen.","bean"," Hans does not like eating beans."
"der Brief, -e","Haben Sie einen Brief für mich?","letter"," Do you have a letter for me?"
"die Briefmarke, -n","Bitte die Briefmarke nicht vergessen!","stamp"," Please do not forget the stamp!"
"die Brille, -n","Wo ist meine Brille?","glasses"," Where are my glasses?"
"das Brot, -e","Nimm doch noch ein Brot für das Abendessen.","bread"," Take some more bread for dinner."
"das Brötchen, -","Möchtest du Brot oder Brötchen zum Frühstück?","bread roll"," Would you like bread or rolls for breakfast?"
"die Brücke, -n","Fahren Sie über die nächste Brücke und dann","bridge"," Please drive over the next bridge and then"
"das Buch, ¨-er","Was kostet das Buch, bitte?","book"," How much does the book cost, please?"
"der Buchstabe, -n","Diesen Buchstaben gibt es in meiner Sprache nicht.","letter"," This letter does not exist in my language."
"das Büro, -s","Ich arbeite in einem Büro.","office"," I work in an office."
"der Bus, -se","Wann kommt der nächste Bus?","bus"," When does the next bus come?"
"die Butter, -","Möchtest du Butter aufs Brot oder nur Käse?","butter"," Do you want butter on the bread or just cheese?"
"das Café, -s","Kommst du mit ins Café? Ich möchte gern einen Kaffee trinken.","cafe"," Are you coming to the cafe with me? I would like to drink a coffee."
"die Cafeteria, -s","Ich gehe jetzt in die Cafeteria. Soll ich dir etwas mitbringen?","cafeteria"," I am going to the cafeteria now. Should I bring you something?"
"der Chef, -s","Wir haben ein neue Chef.","boss (male)"," We have a new male boss."
"die Chefin, -nen","Wir haben eine neue Chefin.","boss (female)"," We have a new female boss."
"der Club, -s","Gibt es hier einen Tennis-Club/Klub?","club"," Is there a tennis club here?"
"das Comic, -s","Mein Sohn liest immer nur Comics.","comic"," My son only ever reads comics."
"der Computer, -","Wann bekommst du deinen neuen Computer?","computer"," When will you get your new computer?"
"die Creme, -s/-n","Ich suche eine Creme für die Hände.","cream"," I am looking for a hand cream."
"die Dame, -n","Damen (an der Toilette)","lady"," Ladies (in the restroom)"
"der Dank (Sg.), -","Vielen Dank!","thanks"," Thank you very much!"
"die Datei, -en","Wo hast du die Datei gespeichert?","file"," Where did you save the file?"
"das Datum, -en","Bitte Datum und Unterschrift nicht vergessen!","date"," Please don’t forget the date and signature!"
"das Ding, -e","Gib mir bitte mal das Ding da drüben!","thing"," Please hand me that thing over there!"
"die Disco, -s","Wir gehen heute Abend in die Disco/Disko.","disco"," We are going to the disco this evening."
"die Disko, -s","Wir gehen heute Abend in die Disco/Disko.","disco"," We are going to the disco this evening."
"das Doppelzimmer, -","Möchten Sie ein Doppelzimmer oder ein Einzelzimmer?","double room"," Would you like a double room or a single room?"
"das Dorf, ¨-er","Unser Dorf liegt direkt an der Autobahn.","village"," Our village lies right by the highway."
"der Drucker, -","Mein Drucker ist kaputt.","printer"," My printer is broken."
"der Durst, -","Hast du etwas zu trinken? Ich habe großen Durst.","thirst"," Do you have something to drink? I am very thirsty."
"die Dusche, -n","Unsere Wohnung hat nur eine Dusche.","shower"," Our apartment has only a shower."
"das E-Book, -s","Liest du lieber E-Books oder Bücher aus Papier?","e-book"," Do you prefer reading e-books or paper books?"
"die Ecke, -n","Gehen Sie an der nächsten Ecke links.","corner"," Turn left at the next corner."
"die Ehefrau, -en","Das ist meine Ehefrau.","wife"," This is my wife."
"der Ehemann, -er/","Das ist mein Ehemann","husband"," This is my husband"
"der Ehepartner, -","Das ist mein Ehepartner.","spouse"," This is my partner."
"das Ei, -er","Möchtest du ein Ei zum Frühstück?","egg"," Would you like an egg for breakfast?"
"der Eingang, ¨-e","Der Eingang ist um die Ecke.","entrance"," The entrance is around the corner."
"das Einkaufszentrum, -","Kommst du morgen mit ins Einkaufszentrum?","shopping center"," Are you coming to the shopping mall tomorrow?"
"die Einladung, -en","Danke für die Einladung zu deinem Geburtstag!","invitation"," Thanks for the invitation to your birthday!"
"der Eintritt, -e","Der Eintritt kostet fünf Euro.","entrance"," The admission costs five euros."
"das Eis, -","Möchtest du auch ein Eis?","ice; also ice cream"," Would you like an ice cream too?"
"die E-Mail, -s","Ich schreibe Ihnen/dir eine E-Mail.","email"," I am writing you an email."
"der Empfänger, -","Auf dem Brief steht dein Name, also bist du der Empfänger","recipient"," The letter bears your name, so you are the recipient"
"das Ende, -n","Sie wohnt am Ende der Straße.","end"," She lives at the end of the street."
"die Entschuldigung, -en","Oh, Entschuldigung! – Macht nichts. Kein Problem.","apology"," Oh, excuse me! – It doesn’t matter. No problem."
"das Erdgeschoss, -e","Ich wohne im Erdgeschoss.","ground floor"," I live on the ground floor."
"die Erfahrung, -en","Ich habe zehn Jahre Erfahrung in diesem Beruf.","experience"," I have ten years of experience in this profession."
"die Erlaubnis, -","Haben Sie eine Arbeitserlaubnis?","permission"," Do you have a work permit?"
"die Ermäßigung, -en","Für Schüler, Studenten und Rentner gibt es eine","discount"," For pupils, students and pensioners there is a"
"der Erwachsene, -n","Erwachsene zahlen zehn Euro, für Kinder ist der","adult"," Adults pay ten euros, for children it is the"
"das Essen, -","Das Essen in der Cafeteria ist meistens ganz gut.","food"," The food in the cafeteria is usually quite good."
"das Fach, ¨-er","Welches Fach magst du in der Schule am liebsten?","subject; compartment"," Which subject do you like best at school?"
"die Abfahrt, -en","Wir haben noch zwanzig Minuten bis zur Abfahrt.","departure"," We still have twenty minutes until departure."
"die Fahrkarte, -n","Hast du schon eine Fahrkarte?","ticket"," Do you already have a ticket?"
"der Fahrplan, ¨-e","Ist das der neue Fahrplan?","timetable"," Is this the new timetable?"
"das FahrRad, ¨-er","Wenn es nicht regnet, fahre ich mit dem Fahrrad.","bicycle (folding bike; brand term)"," If it doesn’t rain, I’ll ride my bicycle."
"die Familie, -n","Meine Familie lebt in Spanien.","family"," My family lives in Spain."
"der Familienname, -","Mein Familienname ist González.","family name"," My family name is González."
"der Fan, -s","Er ist ein großer Fußballfan.","fan"," He is a big football fan."
"die Farbe, -n","Die Farbe gefällt mir gut.","color"," I like the color."
"der Fehler, -","Diesen Fehler mache ich immer wieder.","mistake"," I keep making this mistake."
"die Feier, -n","Wann hast du Feierabend?","celebration"," When do you get off work?"
"das Fenster, -","Kannst du bitte das Fenster öffnen?","window"," Could you please open the window?"
"die Ferien, -","Bald haben wir Ferien.","holidays"," Soon we’ll have holidays."
"der Fernseher, -","Der Fernseher ist kaputt.","television"," The television is broken."
"das Fest, -e","Frohes Fest!","festival"," Happy holidays!"
"das Festival, -s","Am Wochenende ist in der Stadt ein Musik-Festival.","festival"," There is a music festival in the city this weekend."
"das Fieber, -","Sie hat hohes Fieber.","fever"," She has a high fever."
"der Film, -e","Ich möchte gern diesen Film sehen.","film"," I would like to see this film."
"die Firma, -en","Er arbeitet jetzt bei einer anderen Firma.","company"," He now works at another company."
"der Fisch, -e","Fisch mag ich lieber als Fleisch.","fish"," I prefer fish to meat."
"die Flasche, -n","Eine Flasche Mineralwasser, bitte!","bottle"," One bottle of mineral water, please!"
"das Fleisch, -","Fleisch mag ich nicht.","meat"," I don’t like meat."
"der Flohmarkt, ¨-e","Ich gehe gern auf den Flohmarkt.","flea market"," I like going to the flea market."
"der Flug, ¨-e","Ich möchte einen Flug nach Kanada buchen.","flight"," I would like to book a flight to Canada."
"der Flughafen, ¨-","Kannst du mich zum Flughafen bringen?","airport"," Can you take me to the airport?"
"das Flugzeug, -e","Das Flugzeug aus Berlin hat Verspätung.","airplane"," The airplane from Berlin is delayed."
"der Fluss, ¨-e","Der Rhein ist ein großer Fluss.","river"," The Rhine is a large river."
"das Formular, -e","Sie müssen dieses Formular ausfüllen.","form"," You must fill out this form."
"der Fotoapparat, -e","Ich möchte mir einen Fotoapparat kaufen.","camera"," I would like to buy a camera."
"das Foto, -s","Darf ich ein Foto machen?","photo"," May I take a photo?"
"die Frage, -n","Ich habe eine Frage.","question"," I have a question."
"die Frau, -en","Das ist Frau Becker.","woman"," That is Mrs. Becker."
"die Freizeit, -","In meiner Freizeit spiele ich oft Fußball.","leisure"," In my free time I often play football."
"der Freund, -e,","Das ist ein Freund von mir.","friend (male)"," This is a friend of mine."
"die Freundin, -nen","Das ist meine Freundin Susanne.","girlfriend"," This is my friend Susanne."
"das Frühstück, -","Möchtest du ein Ei zum Frühstück?","breakfast"," Would you like an egg for breakfast?"
"der Führerschein, -","Hast du den Führerschein?","driving licence"," Do you have a driver's license?"
"die Führung, -en","Die nächste Führung beginnt um 15 Uhr.","leadership; tour"," The next guided tour begins at 3 p.m."
"die Fundsachen, -","Haben Sie meinen Schirm gefunden? - Sie können (Pl.) dort bei den Fundsachen schauen","lost and found"," Did you find my umbrella? - You can look there at the lost and found."
"der Fuß, ¨-e","Der linke Fuß tut mir weh.","foot"," The left foot hurts."
"der Fußball, ¨-e","Spielt ihr gern Fußball?","soccer"," Do you like playing football?"
"die Gabel, -n","Kann ich bitte eine Gabel haben?","fork"," Can I have a fork, please?"
"die Garage, -n","Hier ist eine Garage für dein Auto.","garage"," Here is a garage for your car."
"der Garten, ¨-","Wir haben leider keinen Garten.","garden"," We unfortunately have no garden."
"der Gast, ¨-e","Heute Abend haben wir Gäste.","guest"," We have guests this evening."
"das Gegenteil, -e","Das Gegenteil von „klein“ ist „groß“.","opposite"," The opposite of “small” is “big.”"
"das Gehalt, ¨-er","Sie ist mit ihrem Gehalt zufrieden.","salary"," She is satisfied with her salary."
"das Geld, -","Hast du noch Geld?","money"," Do you have any money left?"
"die Geldbörse, -n","Sie hat ihre Geldbörse verloren.","wallet"," She has lost her wallet."
"das Gemüse, -","Wir kaufen das Gemüse immer auf dem Markt.","vegetables"," We always buy the vegetables at the market."
"das Gepäck, -","Wollen Sie Ihr Gepäck mitnehmen?","luggage"," Do you want to take your luggage with you?"
"das Gerät, -e","Elektrogeräte finden Sie im dritten Stock.","device"," Home appliances can be found on the third floor."
"das Gericht, -e","Mein Lieblingsgericht ist Pizza.","dish; court"," My favorite dish is pizza."
"das Geschäft, -e","Die Geschäfte schließen um 18.30 Uhr.","shop; business"," The shops close at 6:30 p.m."
"das Geschenk, -e","Danke für das schöne Geschenk.","gift"," Thanks for the nice gift."
"die Geschichte, -n","Erzählst du mir eine Geschichte?","story"," Will you tell me a story?"
"das Geschirr, -","Stellst du bitte das Geschirr in den Schrank?","dishes"," Please put the dishes in the cupboard."
"das Gesicht, -er","Wasch dir bitte das Gesicht.","face"," Please wash your face."
"das Gespräch, -e","Sie hören ein Gespräch. Zu diesem Gespräch gibt es","conversation"," You hear a conversation. This conversation has"
"die Gesundheit, -","Gesundheit! Sind Sie erkältet?","health"," Gesundheit! Are you having a cold?"
"das Getränk, -e","Mein Lieblingsgetränk ist Tomatensaft.","drink"," My favorite drink is tomato juice."
"das Gewitter, -","Ich glaube, es gibt heute ein Gewitter.","thunderstorm"," I think there will be a thunderstorm today."
"die Gitarre, -n","Er kann gut Gitarre spielen.","guitar"," He can play the guitar well."
"das Glas, ¨-er","Bitte noch ein Glas Apfelsaft!","glass"," Please another glass of apple juice!"
"das Gleis, -e","Der ICE nach Berlin hält heute an Gleis 12.","track"," The ICE to Berlin stops today at track 12."
"das Glück, -","Viel Glück!","luck"," Good luck!"
"der Glückwunsch, ¨-e","Herzlichen Glückwunsch zum Geburtstag!","congratulations"," Happy birthday!"
"die Grippe, -","Ich habe eine Grippe und kann leider nicht","flu"," I have the flu and can't unfortunately"
"die Größe, -n","Haben Sie das T-Shirt auch in Größe M?","size"," Do you have the T-shirt in size M as well?"
"die Gruppe, -n","Die erste Gruppe beginnt um 16 Uhr.","group"," The first group begins at 4 p.m."
"der Gruß, ¨-e","Viele Grüße an Ihre Frau.","regards"," Best regards to your wife."
"das Haar, -e","Sie hat lange Haare.","hair"," She has long hair."
"das Hähnchen, -","Ein Hähnchen mit Pommes, bitte!","chicken"," A chicken with fries, please!"
"die Halle, -n","Wir treffen uns in Halle B.","hall"," We will meet in hall B."
"der Hals, ¨-e","Mir tut der Hals weh.","neck"," My throat hurts."
"die Haltestelle, -n","An der nächsten Haltestelle müssen Sie aussteigen.","stop (bus/train)"," At the next stop you must get off."
"der Hamburger, -","Einen Hamburger ohne Salat, bitte.","hamburger"," A hamburger without lettuce, please."
"die Hand, ¨-e","Wasch dir bitte die Hände vor dem Essen.","hand"," Please wash your hands before eating."
"das Handtuch, ¨-er","Gibst du mir bitte ein frisches Handtuch?","towel"," Could you please give me a fresh towel?"
"das Handy, -s","In der Schule bitte die Handys ausmachen!","mobile phone"," Please switch off your phones at school!"
"die Hauptstadt, ¨-e","Berlin ist die Hauptstadt von Deutschland.","capital"," Berlin is the capital of Germany."
"das Haus, ¨-er","In welchem Haus wohnst du?","house"," Which house do you live in?"
"der Haushalt, -e","Wer macht bei euch den Haushalt? - Meine Frau und ich machen den Haushalt zusammen.","household"," Who runs the household at your place? – My wife and I run the household together."
"das Heft, -e","Hast du dein Heft dabei?","notebook"," Do you have your exercise book with you?"
"die Heimat, -","Ich komme aus der Schweiz. Das ist meine Heimat.","homeland"," I come from Switzerland. That is my homeland."
"die Heizung, -en","Es ist kalt. Ist die Heizung kaputt?","heating"," It is cold. Is the heating broken?"
"das Hemd, -en","Nick trägt heute ein neues Hemd.","shirt"," Nick is wearing a new shirt today."
"der Herd, -e","In der neuen Küche fehlt noch der Herd.","stove"," The stove is still missing in the new kitchen."
"der Herr, -en","Guten Tag, Herr Sommer!","mister; lord"," Good day, Mr. Sommer!"
"die Hilfe, -","Hilfe! Bitte helfen Sie mir!","help"," Help! Please help me!"
"der Himmel, -","Heute ist so tolles Wetter: Der Himmel ist blau und es gibt keine Wolken.","sky"," The weather is great today: the sky is blue and there are no clouds."
"das Hobby, -s","Meine Hobbys sind Joggen und Schwimmen.","hobby"," My hobbies are jogging and swimming."
"die Hochzeit, -en","Zu seiner Hochzeit kommen mehr als einhundert Gäste.","wedding"," More than one hundred guests are coming to his wedding."
"die Homepage, -s","Auf der Homepage von Freiburg gibt es alle wichtigen Informationen über die Stadt.","homepage"," The Freiburg homepage has all the important information about the city."
"die Hose, -n","Kann ich die Hose waschen?","pants"," Can I wash the trousers?"
"das Hotel, -s","Im Urlaub sind wir in einem Hotel am Meer.","hotel"," On vacation we are in a hotel by the sea."
"der Hund, -e","Magst du Hunde?","dog"," Do you like dogs?"
"der Hunger, -","Ich habe Hunger! Wann können wir endlich essen?","hunger"," I am hungry! When can we finally eat?"
"die Idee, -n","Was machen wir heute Abend? Hast du eine gute Idee ?","idea"," What are we doing tonight? Do you have a good idea?"
"die Information, -en","Wir haben hier einige wichtige Informationen für Sie.","information"," We have some important information for you here."
"die Insel, -n","Ich möchte im Sommer auf einer Insel Urlaub machen.","island"," I would like to vacation on an island in the summer."
"das Instrument, -e","Ich spiele Klavier. Spielen Sie auch ein Instrument?","instrument"," I play piano. Do you also play an instrument?"
"das Interesse, -n","Ich habe viele Interessen: Sport, Lesen, Kultur, Reisen","interest"," I have many interests: sports, reading, culture, travel"
"das Internet, -","Das findest du im Internet.","internet"," You can find that on the internet."
"das Interview, -s","Komm schnell! Im Radio kommt ein Interview mit deinem Lieblingssänger.","interview"," Come quickly! The radio has an interview with your favorite singer."
"die Jacke, -n","Zieh dir eine Jacke an. Es ist kalt.","jacket"," Put on a jacket. It’s cold."
"die Jeans, -","Ich mag Jeans lieber als Röcke.","jeans"," I prefer jeans to skirts."
"der Job, -s","Jenny hat einen neuen Job bei der Post.","job"," Jenny has a new job at the post office."
"die Jugend, -","Wir übernachten in einer Jugendherberge.","youth"," We are staying in a youth hostel."
"der Junge, -n","In der Klasse von meiner Tochter sind 13 Jungen und 15 Mädchen.","boy"," In my daughter's class there are 13 boys and 15 girls."
"der Kaffee, -s","Zum Frühstück trinke ich immer Kaffee.","coffee"," I always drink coffee for breakfast."
"der Kalender, -","Haben Sie am Montag Zeit? - Einen Moment, ich schaue in meinem Kalender.","calendar"," Do you have time on Monday? - One moment, I’ll check my calendar."
"die Kamera, -s","Hannes hat eine neue Kamera. Er kann mit der Kamera Fotos und Filme machen.","camera"," Hannes has a new camera. He can take photos and make films with the camera."
"die Karte, -n","Ich schreibe meinen Bekannten eine Karte aus dem Urlaub.","card; map"," I am writing a card to my acquaintance from vacation."
"die Kartoffel, -n","Für Pommes frites braucht man Kartoffeln.","potato"," Potatoes are needed for french fries."
"der Käse, -","Isst du lieber Käse oder Wurst?","cheese"," Do you prefer cheese or sausage?"
"die Kasse, -n","Zahlen Sie bitte an der Kasse.","cash register"," Please pay at the checkout."
"die Katze, -n","Meine Tochter wünscht sich eine Katze.","cat"," My daughter wishes for a cat."
"das Kaufhaus, -er","Meine Pullover kaufe ich immer im Kaufhaus","department store"," I always buy my sweaters at the department store"
"der Keller, -","Bitte bring die Kartoffeln in den Keller!","cellar"," Please bring the potatoes to the cellar!"
"die Kenntnisse, -","Deine Deutschkenntnisse sind sehr gut!","knowledge"," Your German skills are very good!"
"die Kette, -n","Meine Mutter bekommt eine schöne Kette zum Geburtstag.","chain; necklace"," My mother receives a beautiful necklace for her birthday."
"das Kind, -er","Wie viele Kinder haben Sie?","child"," How many children do you have?"
"der Kindergarten, -","Die kleine Laura geht schon in den Kindergarten.","kindergarten"," Little Laura already goes to kindergarten."
"das Kino, -s","Gehen wir heute Abend zusammen ins Kino?","cinema"," Shall we go to the cinema together this evening?"
"der Kiosk, -e","Zeitungen kannst du am Kiosk kaufen.","kiosk"," You can buy newspapers at the kiosk."
"die Kirche, -n","Diese Kirche ist fast 800 Jahre alt.","church"," This church is almost 800 years old."
"das Klavier, -e","Jakob kann sehr gut Klavier spielen.","piano"," Jakob can play piano very well."
"das Kleid, -er","Julia möchte ein rotes Kleid kaufen.","dress"," Julia would like to buy a red dress."
"die Kleidung, -","Wo finde ich Kleidung? – Hosen im ersten, Kleider und Röcke im zweiten Stock.","clothing"," Where can I find clothes? – Trousers on the first floor, dresses and skirts on the second floor."
"der Koffer, -","Hast du den Koffer schon gepackt?","suitcase"," Have you already packed the suitcase?"
"der Kollege, -n","Wie heißt der neue Kollege?","colleague (male)"," What is the name of the new colleague?"
"die Kollegin, -nen","Wie heißt die neue Kollegin?","colleague (female)"," What is the name of the new female colleague?"
"der Kontakt, -e","Ich habe wenig Kontakt zu meinen Kollegen.","contact"," I have little contact with my colleagues."
"das Konto, -en","Das Geld überweisen wir am ersten März auf Ihr Konto.","account"," We will transfer the money to your account on March 1st."
"das Konzert, -e","Für das Konzert am Sonntag gibt es noch Karten.","concert"," There are still tickets for the concert on Sunday."
"der Kopf, ¨-e","Mein Kopf tut weh!","head"," My head hurts!"
"der Körper, -","Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.","body"," The doctor says I should do something for my body, e.g., swim or bike."
"die Kosmetik, -","Kosmetik können Sie im Erdgeschoss kaufen.","cosmetics"," You can buy cosmetics on the ground floor."
"das Krankenhaus, -","Meine Tante ist im Krankenhaus.","hospital"," My aunt is in the hospital."
"die Krankenkasse, -","Bei welcher Krankenkasse sind Sie?","health insurance"," Which health insurance are you with?"
"die Krankheit, -en","Welche Krankheit hat Herr Brandner?","illness"," What illness does Mr. Brandner have?"
"der Kredit, -e","Ich brauche einen Kredit von der Bank.","loan"," I need a loan from the bank."
"die Kreuzung, -en","Fahren Sie an der nächsten Kreuzung rechts.","intersection"," Turn right at the next intersection."
"der Krimi, -s","Miriam liest gern spannende Krimis.","crime movie"," Miriam enjoys reading thrilling crime novels."
"die Küche, -n","Ich suche eine neue Wohnung mit drei Zimmern,","kitchen"," I am looking for a new three-room apartment,"
"der Kuchen, -","Er ißt sonntags ein Stück Kuchen.","cake"," He eats a piece of cake on Sundays."
"der Kühlschrank, ¨-e","Haben wir noch Milch? – Ja, im Kühlschrank.","cool; cooling (prefix form)"," Do we still have milk? – Yes, in the fridge."
"die Kultur, -en","Ich finde fremde Länder und Kulturen sehr interessant.","culture"," I find foreign countries and cultures very interesting."
#N/A
"die Kundin, -nen","Einen Moment, bitte. Ich habe eine Kundin.","customer (female)"," One moment, please. I have a female customer."
"die Kunst, ¨-e","Ich verstehe nichts von moderner Kunst.","art"," I know nothing about modern art."
"der Kurs, -e","Der Deutschkurs dauert zwei Monate.","course"," The German course lasts two months."
"der Laden, ¨-","Ich kaufe meine Kleider immer in einem kleinen","shop"," I always buy my clothes in a small"
"die Lampe, -n","Mach bitte die Lampe an. Es ist so dunkel.","lamp"," Please turn on the lamp. It is so dark."
"das Land, ¨-er","Deutschland ist ein schönes Land.","country; land"," Germany is a beautiful country."
"die Landschaft, -en","Die Landschaft ist sehr schön.","landscape"," The landscape is very beautiful."
"das Laptop, -s","Ich brauche einen neuen Laptop.","laptop"," I need a new laptop."
"das Leben, -","Hier in London ist das Leben teuer.","life"," Life is expensive here in London."
"die Lebensmittel, -","Lebensmittel bekommen Sie im Supermarkt.","groceries"," You can get groceries at the supermarket."
"die Leute, -","Auf der Party sind viele Leute.","people"," There are many people at the party."
"das Licht, -er","Es ist so dunkel. Mach bitte das Licht an!","light"," It is so dark. Please turn on the light!"
"das Lied, -er","Zum Geburtstag singen wir dir ein Lied.","song"," For your birthday we sing you a song."
